ID,Title,Genre,Year,Director,Actor1,Actor2,Actor3,,,,
489,Made in America,Comedy&Drama,1993,Richard Benjamin,Whoopi Goldberg,Tim Allen,Bill Cobbs[,,,,
490,Malice,Drama&Mystery&Thriller,1993,Alexander Mackendrick,Alec Baldwin,Nicole Kidman,Bill Pullman[,,,,
491,The Man Without a Face,Drama&Family,1993,Nelson Makoto Kubo,Mel Gibson,Nick Stahl,Margaret Ahn[,,,,
492,Manhattan Murder Mystery,Comedy&Mystery&Thriller,1993,Woody Allen,Mia Farrow,Jon Lovitz,Danny Aiello[,,,,
493,Menace II Society,Crime&Drama&Thriller,1993,The Hughes Brothers,Larenz Tate,Breckin Meyer,Ludacris[,,,,
494,Executive Decision,Action&Thriller,1996,Jonathan Hensleigh,Kurt Russell,Steven Seagal,Jamie Lee Curtis,Jan de Bont,,,
495,In the Realm of the Senses (Ai no corrida),Drama&History&Romance,1976,Nagisa Oshima,Eiko Matsuda,Takeshi Mie,Aiko Sato[,,,,
496,What Happened Was...,Comedy&Drama,1994,Tom Noonan,Karen Allen,Lili Taylor,Jared Harris[,,,,
497,Much Ado About Nothing,Comedy&Drama,1993,Kenneth Branagh,Benedick,Emma Thompson,Keanu Reeves[,,,,
498,Mr. Jones,Drama&History,1993,Spike Lee,Thomas G. Waites,John Turturro,Debbie Allen[,,,,
499,Mr. Wonderful,Comedy&Romance,1993,Mittie C. Smith,Matt Lawrence,Holly Robinson Peete,Diedrich Bader[,,,,
500,Mrs. Doubtfire,Comedy&Drama&Family,1993,Chris Columbus,Robin Williams,Harvey Fierstein,Sally Field[,,,,
501,Naked,Drama&Romance,1993,Mike Leigh,David Thewlis,Lesley Manville,Peter Wight[,,,,
502,The Next Karate Kid,Action&Comedy&Family,1994,Christopher Cain,Hilary Swank,Pat Morita,Thomas G. Waites,,,,
503,"New Age, The",Drama&Fantasy,1994,Mike Binder,James Caviezel,Sophia Loren,Hal Holbrook[,,,,
504,No Escape,Action&Adventure&Thriller,1994,Martin Campbell,Kevin Costner,Linda Hamilton,Will Patton,,,,
505,North,Drama&Family,1994,Rob Reiner,Elijah Wood,Jughead Jones,Vanna White[,,,,
506,Orlando,Drama&Romance,1993,Sally Potter,Tilda Swinton,Quentin Crisp,Charlotte Valandrey[,,,,
507,A Perfect World,Drama&Crime,1993,Clint Eastwood,Kevin Costner,Laura Dern,Toby Huss[,,,,
508,Philadelphia,Drama&Romance,1993,Jonathan Demme,Tom Hanks,Denzel Washington,Antonia Banderas[,,,,
509,The Piano,Drama&Music,1993,Jane Campion,Holly Hunter,Harvey Keitel,Sam Neill[,,,,
510,Poetic Justice,Drama&Romance,1993,John Singleton,Janet Jackson,Tupac Shakur,Jamie Foxx[,,,,
511,The Program,Drama&Sport,1993,Eric Till,Craig Sheffer,Charles Haid,Heather Graham[,,,,
512,"Robert A. Heinlein""s The Puppet Masters",Science Fiction&Thriller,1994,David Semadeni,Kevin McCarthy,Scarlett Johansson,Jake Busey[,,,,
513,Radioland Murders,Comedy&Mystery&Thriller,1994,Blake Edwards,Bruce Willis,Anthony Perkins,"Rosie O""Donnell[",,,,
514,The Ref,Comedy&Crime&Drama&Thriller,1994,Ted Demme,Denis Leary,Judy Davis,Kevin Spacey[,,,,
515,The Remains of the Day,Drama&History&Romance,1993,James Ivory,Anthony Hopkins,Emma Thompson,Kristin Scott Thomas[,,,,
516,Renaissance Man,Comedy&Drama,1994,Penny Marshall,Danny DeVito,Bill Pullman,Embeth Davidtz,,,,
517,Rising Sun,Crime&Drama,1993,Phillip Noyce,Sean Connery,Wesley Snipes,Edward Woodward[,,,,
518,The Road to Wellville,Comedy&Drama&History,1994,Anthony Minghella,Anthony Hopkins,Jennifer Lopez,Christian Slater[,,,,
519,Robocop 3,Science Fiction&Action&Crime,1993,Irvin Kershner,Peter Weller,Robert John Burke,CCH Pounder[,,,,
520,Robin Hood: Men in Tights,Comedy&Adventure&Fantasy,1993,Mel Brooks,Cary Elwes,Richard Lewis,Dave Chappelle[,,,,
521,Romeo Is Bleeding,Drama&Crime,1993,Peter Medak,Gary Oldman,Lena Olin,Juliette Lewis[,,,,
522,Romper Stomper,Drama&Crime,1992,Geoffrey Wright,Russell Crowe,Daniel Pollock,Jacqueline McKenzie[Inst],,,,
523,Ruby in Paradise,Drama&Romance,1993,Victor Nunez,Helen Shaver,Aidan Quinn,Elizabeth McGovern[,,,,
524,Rudy,Drama&Sport,1993,David Anspaugh,Sean Astin,Jon Favreau,Ned Beatty[,,,,
525,The Saint of Fort Washington,Drama&Romance,1993,Tim Hunter,Matt Dillon,Campbell Scott,Diane Lane[,,,,
526,"Savage Nights (Nuits fauves, Les)",Drama&Romance,1992,Cyril Collard,Romain Duris,Jamie Harris,Linda Hardy[,,,,
527,Schindler's List,Drama&History&War,1993,Steven Spielberg,Liam Neeson,Ben Kingsley,Ralph Fiennes[,,,,
528,"Scout, The",Drama&Family,1994,Rick Schroder,Jonathan Jackson,Lolita Davidovich,Bruce Davison[,,,,
529,Searching for Bobby Fischer,Biography&Drama&History,1993,Steven Zaillian,Joe Mantegna,Ben Kingsley,Patrick Duchatelet[Inst],,,,
530,Second Best,Drama&Romance,1994,John Herzfeld,Demi Moore,Stuart Townsend,Sarah Jessica Parker[,,,,
531,The Secret Garden,Drama&Family,1993,Nikola Schindler,Meg Hammil,John Lynch,Hilary Vincent[,,,,
532,Serial Mom,Comedy&Crime&Drama,1994,John Waters,Kathleen Turner,Sam Waterston,Matt Dillon[,,,,
533,"Shadow, The",Fantasy&Adventure,1994,Brendan Fletcher,Alex Wright,Ian McKellen,Jim Broadbent[,,,,
534,Shadowlands,Drama&Romance,1993,Richard Attenborough,Anthony Hopkins,Embeth Davidtz,Derek Jacobi[,,,,
535,Short Cuts,Drama&Comedy&Crime&Romance,1993,Robert Altman,Andie MacDowell,Jack Lemmon,Julianne Moore[,,,,
536,A Simple Twist of Fate,Drama&Romance,1994,Gregory Nava,Meryl Streep,Lily Tomlin,Miranda Richardson[,,,,
537,Sirens,Drama&Thriller,1994,Jonathan Demme,Harrison Ford,Anne Heche,Gene Hackman[,,,,
538,Six Degrees of Separation,Drama&Romance,1993,Fred Schepisi,Stockard Channing,Ian McKellen,Donald Sutherland[,,,,
539,Sleepless in Seattle,Romance&Comedy,1993,Nora Ephron,Tom Hanks,Meg Ryan,Bill Pullman,,,,
540,Sliver,Thriller&Romance,1993,Phil Joanou,Sharon Stone,Tom Berenger,Billy Drago[,,,,
541,Blade Runner,Science Fiction&Drama&Romance,1982,Ridley Scott,Harrison Ford,Sean Young,Rutger Hauer[,,,,
542,Son in Law,Comedy,1993,Hart Bochner,Pierce Brosnan,Demi Moore,Tim Matheson,,,,
543,So I Married an Axe Murderer,Comedy&Romance&Thriller,1993,Tommy Lee Jones,Meg Ryan,Anthony LaPaglia,Steven Wright[,,,,
544,Striking Distance,Action&Drama,1993,Mark Rosman,Sarah Jessica Parker,Tom Sizemore,Nicolas Cage[,,,,
545,Harlem,Drama&Musical,1993,Frank O. Sullivan,Sidney Poitier,Danny Glover,Rita Moreno[,,,,
546,Super Mario Bros.,Action&Adventure&Comedy&Family,1993,Annabel Jankel&Rocky Morton,Bob Hoskins,John Leguizamo,Dennis Hopper,,,,
547,Surviving the Game,Thriller&Adventure&Drama,1994,James Newton Howard,Ice Cube,Pam Grier,Bill Duke[,,,,
548,Terminal Velocity,Action&Adventure&Thriller,1994,Deran Sarafian,Charlie Sheen,Nicole Kidman,Lindsay Lohan[,,,,
549,Thirty-Two Short Films About Glenn Gould,Drama&Biography&Music&Documentary,1993,François Girard,Colm Feore,Thomas McKechnie,Lottie Gentle[,,,,
550,Threesome,Drama&Romance,1994,Andrew Fleming,Lara Flynn Boyle,Jimi Mistry,Julianne Moore[,,,,
551,The Nightmare Before Christmas,Animation&Adventure&Family&Fantasy,1993,Henry Selick,Chris Sarandon,Danny Elfman,Catherine O'Hara[,,,,
552,"Three Musketeers, The",Action&Adventure&Comedy&Romance,1993,Steve Miner,Charlie Sheen,Kiefer Sutherland,Oliver Platt,,,,
553,Tombstone,Western&Action&Drama,1993,George Pan Cosmatos,Kurt Russell,Val Kilmer,Sam Elliott[,,,,
554,Trial by Jury,Thriller&Drama,1994,Alexander Payne,Dermot Mulroney,Sigourney Weaver,Glenne Headly,Bill Pullman[,,,
555,True Romance,Crime&Drama&Romance,1993,Tony Scott,Leonardo DiCaprio,Juliette Lewis,Dennis Hopper,,,,
556,"War Room, The",Drama&Romance,1993,Stephen Kronish,Ali Landry,Bruce McGill,Danny Glover[,,,,
557,Mamma Roma (1962),Drama,1962,Pier Paolo Pasolini,Anna Magnani,Franco Citti,Judith Magre[,,,,
558,The Pagemaster,Adventure&Family&Fantasy,1994,Patrick Gilmore,Macaulay Culkin,Christopher Lloyd,Whoopi Goldberg[,,,,
559,"Paris, France",Documentary,1993,James Ivory,null,null,null,,,,
560,"Beans of Egypt, Maine, The",Comedy&Drama,1994,Kenneth Branagh,Harmony Korine,Nick Nolte,Sarah Jessica Parker[,,,,
561,Killer (Bulletproof Heart),Action&Crime&Drama,1994,Steve Carver,Sylvester Stallone,Madeleine Stowe,Samuel L. Jackson[,,,,
562,Welcome to the Dollhouse,Drama&Comedy&Family,1995,Todd Solondz,Heather Matarazzo,Miriam Flynn,Jarja Vasquez[,,,,
563,Germinal,Drama&History,1993,Randall Miller,Geoffrey Lewis,David Warner,Jamie Harris,,,,
564,Chasers,Action&Comedy&Romance,1994,Roger Christian,Tom Sizemore,Ken Hudson Campbell,Jordana Brewster[,,,,
565,Cronos,Drama&Fantasy&Horror,1992,Guillermo del Toro,Federico Luppi,Antonia Banderas,Charles S. Dutton[,,,,
566,Naked in New York,Comedy&Drama,1994,Daniel Algrant,Mickey Rourke,Mimi Rogers,Joe Pantoliano[,,,,
567,Kika,Drama&Romance,1993,Giuseppe Tornatore,Licia Maglietta,Gianmarco Tognazzi[,,,,,
568,Bhaji on the Beach,Drama&Comedy,1993,Meera Syal,Jimi Mistry,Archie Panjabi,Zuria Absalon[,,,,
569,Little Big League,Comedy&Family&Sport,1994,John Schultz,Jimmy O. Yang,Ian Hyland,Toby Huss[,,,,
570,"Slingshot, The (Kådisbellan )",Comedy&Drama,1993,Liza Marklund,Johan Rheborg,Kjell Bergqvist,Lennart Hjulström,,,,
571,The Wedding Gift,Comedy&Drama&Romance,1994,Ron Underwood,Dermot Mulroney,Debra Messing,Greg Germann[,,,,
572,Foreign Student,Drama&Romance,1994,Ron Nyswaner,Matt Letscher,Sarah Jessica Parker,Jeremy Irons[,,,,
573,"Ciao, Professore!",Comedy,1993,Marcello Cesena,Orietta Gastaldon,Gianfranco D'Angelo,Giovanni Maurizio Corsetti[,,,,
574,Spanking the Monkey,Drama&Romance,1994,David O. Russell,Jeremy Davies,Angell Conwell,Tamyra Gregory[,,,,
575,"Little Rascals, The",Comedy&Family,1994,Ruppert Gleisson,Raven-Symoné,Donnie Jeffcoat,Bobb'e J. Thompson[,,,,
576,Fausto,Drama&Romance,1993,Andy Wilson,Leland Orser,Bryan Cranston,Jennifer Grey[,,,,
577,Andre,Drama&Family,1994,Jon Amiel,Kevin Kline,Katie Holmes,Charles Dance[,,,,
578,The Hour of the Pig,Drama&History,1993,Leslie Megahey,Ben Kingsley,Ian Holm,Romy Schneider[,,,,
579,La Scorta,Crime&Drama,1993,Ricky Tognazzi,Michele Placido,Claudia Cardinale,Licia Maglietta[,,,,
580,Princess Caraboo,Adventure&Comedy&Family,1994,Michael Austin,Holly Robinson Peete,Adam Arkin,Ann Nelson[,,,,
581,The Celluloid Closet,Documentary&Drama,1995,Rob Epstein,null,null,null[,,,,
582,Metisse (Café au Lait),Drama&Romance,1993,Cathy Schlesinger, null, null, null[,,,,
583,Dear Diary (Caro Diario),Comedy&Drama,1994,Nanni Moretti,Nanni Moretti,Laura Morante,Jasmine Trinca[,,,,
584,"I Don""t Want to Talk About It (De eso no se habla)",Drama&Romance,1993,María Novaro,Lumi Cavazos,Claudia Ramírez,Laura Féjér[,,,,
585,The Brady Bunch Movie,Comedy&Family,1995,Barry W. Blaustein,Shelley Long,Gary Cole,Christopher Knight[,,,,
586,Home Alone,Comedy&Family&Adventure,1990,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern[,,,,
587,Ghost,Drama&Romance,1990,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,,,,
588,Aladdin,Animation&Adventure&Comedy&Family,1992,Ron Clements&John Musker,Scott Weinger,Robin Williams,Linda Larkin[,,,,
589,Terminator 2: Judgment Day,Science Fiction&Action&Adventure&Thiller,1991,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Robert Patrick[,,,,
590,Dances with Wolves,Drama&History&War,1990,Kevin Costner,Mary McDonnell,Graham Greene,Rod Steiger[,,,,
591,Tough and Deadly,Action&Adventure&Crime,1995,Wesley Snipes,Ice-T,Natasha Henstridge,Bruce Payne[,,,,
592,Batman,Action&Adventure&Crime&Superhero,1989,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,,,,
593,The Silence of the Lambs,Crime&Drama&Horror&Mystery,1991,Jonathan Demme,Jodie Foster,Anthony Hopkins,Scott Glenn[,,,,
594,Snow White and the Seven Dwarfs,Animation&Fantasy&Musical&Romance,1937,Walt Disney,Adriana Caselotti,Lucille La Verne,Lionel Barrymore,,,,
595,Beauty and the Beast,Animation&Fantasy&Romance&Musical,1991,Gary Trousdale&Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti[,,,,
596,Pinocchio,Animation&Family&Musical,1940,Ben Sharpsteen,Walt Disney,Christopher Plummer,Eleanor Audley[,,,,
597,Pretty Woman,Romance&Comedy&Drama,1990,Garry Marshall,Julia Roberts,Richard Gere,Hector Elizondo,,,,
598,Window to Paris,Drama&Romance,1994,David Seltzer,Meg Ryan,Kevin Kline,Sandra Oh[,,,,
599,The Wild Bunch,Action&Adventure&Drama,1969,Sam Peckinpah,William Holden,Ernest Borgnine,Warren Oates,,,,
600,Love and a .45,Drama&Romance,1994,Cis Corman,Mila Kunis,Timothy Olyphant,Brian Cox[,,,,
601,"The Wooden Man's Bride, The",Drama&Romance,1994,Yim Ho,Leslie Cheung,Joey Wong,Jacky Cheung[,,,,
602,A Great Day in Harlem,Documentary&Musical,1994,Frank Donovan, null ,null ,null[,,,,
603,"Bye Bye, Love",Romance&Comedy,1995,Paul Weiland,Sigourney Weaver,Ben Stiller,Jared Harris[,,,,
604,Criminals,Action&Crime&Drama,1996,Greg Yaitanes,Arnold Schwarzenegger,Linda Hamilton,Ray Wise[,,,,
605,One Fine Day,Romance&Comedy,1996,Michael Hoffman,George Clooney,Meryl Streep,Lily Tomlin[,,,,
606,Candyman: Farewell to the Flesh,Horror&Thriller,1995,Tony Todd,Kelly Rowan,William O'Leary,Jennifer Gareis[,,,,
607,Century,Drama&History,1993,Peter Hedges,Jimmy Smits,Jodie Foster,Jeff Goldblum[,,,,
608,Fargo,Crime&Drama&Black Comedy&Thriller,1996,Joel Coen&Ethan Coen,Frances McDormand,William H. Macy,Steve Buscemi[,,,,
609,Homeward Bound II: Lost in San Francisco,Animation&Adventure&Family,1996,Doug Langdale,Michael J. Fox,Don Ameche,Kim Greist[,,,,
610,Heavy Metal,Animation&Adventure&Fantasy&Science Fiction,1981,Gerald Potterton,Don Martin,John Candy,Harvey Atkin[,,,,
611,Hellraiser: Bloodline,Horror&Science Fiction&Thriller,1996,Kari Skogland,Pinhead,Doug Bradley,Judith Roberts[,,,,
612,The Pallbearer,Comedy&Drama,1996,Matt Clark,Greg Gartenberg,Rachel Bay Jones,David Schwimmer[,,,,
613,Jane Eyre,Drama&Romance,1996,Franco Zeffirelli,Charlotte Gainsbourg,William Hurt,Anna Paquin[,,,,
614,Loaded,Comedy&Drama,1994,Anthony Hickox,Pierce Brosnan,Jamie Harris,Jennifer Aniston[,,,,
615,Bread and Chocolate (Pane e cioccolata),Drama&Romance,1973,Franco Brusati,Nino Manfredi,Annie Girardot,Ottavia Piccolo[,,,,
616,The Aristocats,Animation&Adventure&Family,1970,Don Bluth,Phil Harris,Sterling Holloway,Judy Garland[,,,,
617,The Flower of My Secret,Drama&Romance,1995,Juan Manuel Fangio,Ana Belén,Juan Diego,Elvira Mínguez[,,,,
618,Two Much,Comedy&Romance,1996,Philip Gordon,Antonio Banderas,Melanie Griffith,Craig Bierko,,,,
619,Ed,Comedy&Drama,1996,R Learning,Matt LeBlanc,Glenne Headly,Tracy Letts[,,,,
620,Scream of Stone (Schrei aus Stein),Horror&Mystery&Thriller,1991,Hervé Hadmar,Jürgen Prochnow,Johanna Wokalek,Rolf Herricht[,,,,
621,My Favorite Season,Comedy&Drama,1993,Peter Yates,Richard Thomas,Linda Purl,Pernell Roberts[,,,,
623,A Modern Affair,Drama&Romance,1995,Nick Castle,Marcus Gilbert,Neve Campbell,Dermot Mulroney[,,,,
624,Condition Red,Action&Adventure&Thriller,1995,Lamonte McLemore,Eli Roth,Scott Adsit,Kandyse McClure[,,,,
625,Asfour Stah,Drama&Romance,1990,Youssef Chahine,Nour El-Sharif,Soad Hosny,Mohamed Youssef[,,,,
626,A Thin Line Between Love and Hate,Drama&Romance,1996,Martin Lawrence,Lynn Whitfield,Bernie Mac,Regina King[,,,,
627,"Last Supper, The",Drama&History,1995,Stuart Gordon,Campbell Scott,Jonathan Groff,Ian Holm[,,,,
628,Primal Fear,Crime&Drama&Mystery&Thriller,1996,Gregory Hoblit,Richard Gere,Edward Norton,Laura Linney[,,,,
629,Rude,Comedy&Drama,1995,Bruce Robinson,Alex Thomson,Ian Dury,Phil Daniels[,,,,
630,Carried Away,Comedy&Drama&Romance,1996,David Schwimmer,Amy Brenneman,Richard Kind,Judy Davis[,,,,
631,All Dogs Go to Heaven 2,Animation&Adventure&Comedy&Family,1996,Paul Weiland,Don Novis,Eric Idle,Burt Reynolds[,,,,
632,Land and Freedom (Tierra y libertad),Drama&History,1995,Ken Loach,Ivan Henry,Rosie McGowan,Johnny Lee Miller[,,,,
633,Denise Calls Up,Drama,1995,Mick Jackson,Claire Danes,Bridget Fonda,Rupert Graves[,,,,
634,Theodore Rex,Adventure&Comedy&Family,1995,Jonathan Wacks,Whoopi Goldberg,Arnold Schwarzenegger,Jake Lloyd[,,,,
635,A Family Thing,Drama&Family,1996,Jim Sharman,Robert Downey Jr,Campbell Scott,Joanna Going[,,,,
636,Frisk,Drama&Romance,1995,Anthony Hopkins,Jodie Foster,Alex Baldwin,Liam Cunningham[,,,,
637,Sgt. Bilko,Comedy&War,1996,Randal Kleiser,Steve Martin,Dan Aykroyd,Phil Hartman[,,,,
638,Jack and Sarah,Drama&Romance,1995,Stephen gyllenhaal,Juliette Lewis,Oliver Platt,Dermot Mulroney[,,,,
639,Girl 6,Drama&Romance,1996, Jonathan Kaplan,Jennifer Lopez,Ice Cube,Snoop Dogg,,,,
640,Diabolique,Drama&Mystery&Thriller,1996,Jeremy Irons,Embeth Davidtz,Juliette Binoche,Lena Olin[,,,,
641,"Little Indian, Big City (Un indien dans la ville)",Drama&Romance,1994,Pascal Plante,Rampaloli Jonsy,Jahan-Paris Nordin,Stéphane Rousseau,,,,
642,Roula,Drama&Romance,1995,Eric Rolston,Natascha McElhone,Gena Rowlands,Aidan Gillen[,,,,
643,Peanuts - Die Bank zahlt alles,Animation&Comedy&Family,1996,Bill Melendez,Charles M. Schulz,Duncan Maratt,Erin Sullivan[,,,,
644,Happy Weekend,Comedy&Drama,1996,Michael Schroeder,Jennifer Aniston,Gabriel Byrne,Molly Culver[,,,,
645,Nelly & Monsieur Arnaud,Drama&Romance,1995,Martin Bourboulon,Catherine Deneuve,Gérard Depardieu,Virginie Ledoyen[,,,,
647,Courage Under Fire,Drama&War,1996,Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips[,,,,
648,Mission: Impossible,Action&Adventure&Thriller,1996,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,,,,
649,Cold Fever (Á köldum klaka),Drama&Romance,1994,Birgit Gudjonsson,Gunnar Eyjólfsson,Halla Thorodds Siggeirsdóttir,Jón Gnarr[,,,,
650,Moll Flanders,Drama&Romance,1996,Danny Huston,Robin Wright,Ian McKellen,Pete Postlethwaite[,,,,
651,"Superweib, Das",Comedy&Drama,1996,Dietmar Schipek,Maria Hofstätter,Wolfgang Böck,Gudrun Landgrebe[,,,,
652,"301, 302",Science Fiction&Thriller,1995,Andy and Larry Wachowski,Natalie Portman,Hugo Weaving,Joe Pantoliano[,,,,
653,Dragonheart,Adventure&Fantasy&Action&Family,1996,Rob Cohen, Dennis Quaid,Bruce Willis,David Thewlis,Preminger[,,,
654,Und keiner weint mir nach,Drama&Romance,1996,Samira Makhmalbah, null, null, null[,,,,
655,Mutters Courage,Drama&War,1995,Frank Darabont,Tom Hanks,Stephen Graham,Jennifer Connelly[,,,,
656,Eddie,Drama&Family,1996,Loveleen Tandan,Whoopi Goldberg,Jimmy Smits,Maria Canals Barrera[,,,,
657,Yankee Zulu,Action&Adventure&War,1994,M. M. Chacko,Napoleon Simpson,Bernie Casey,James Remar,,,,
658,Billy's Holiday,Drama&Musical,1995,Robert Aldrich,Brad Renfro,Ione Skye,Jay O. Sanders[,,,,
659,Purple Noon,Drama&Mystery&Thriller,1960,René Clément,Alain Delon,Brigitte Auber,Gianni di Gregorio[,,,,
660,August,Drama&Romance,1996,Ewan McGregor,Jennifer Connelly,Bill Pullman,Celia Weston[,,,,
661,James and the Giant Peach,Adventure&Family&Fantasy,1996,Henry Selick,Paul Terry,Paddi Edwards,Jason Robards[,,,,
662,Fear,Horror&Psychological&Thriller,1996,Jonathan Liebesman,Mark Wahlberg,Reese Witherspoon,Alyssa Milano[,,,,
663,Kids in the Hall: Brain Candy,Comedy&Satire,1996,Kids in the Hall,Kevin McDonald,Scott Thompson,Dave Foley,Bruce McCulloch[,,,
664,Faithful,Drama&Romance,1996,Paul Schrader,Cher,Chiwetel Ejiofor,Harrison Ford[,,,,
665,Underground,Drama&History,1995,Emir Kusturica,Mick Jagger,Irène Jacob,Natacha Regnier[,,,,
666,All Things Fair,Drama&Romance,1996,Jonathan Demme,Glenn Close,Jeremy Northam,Christina Ricci,,,,
667,Bloodsport 2,Action&Adventure&Martial Arts,1995,Albert Pyun,Jean-Claude Van Damme,Dolph Lundgren,Cynthia Rothrock[,,,,
668,Pather Panchali,Drama,1955,Satyajit Ray,null,null,null[,,,,
669,Aparajito,Drama&Family,1956,Satyajit Ray,Soumitra Chatterjee,Sharmila Tagore,Alex Bubin[,,,,
670,The World of Apu,Drama&Romance,1959,Satyajit Ray,Soumitra Chatterjee,Sharmila Tagore,Swapan Mukherjee[,,,,
671,Mystery Science Theater 3000: The Movie,Comedy&Science Fiction&Adventure,1996,Joel Hodgson,Michael J. Nelson,Kevin Murphy, trace beam unassigned[,,,,
672,Tarantella,Drama&Romance,1995,Christopher Monger,Greta Scacchi,Juliette Binoche,Gena Rowlands,,,,
673,Space Jam,Animation&Adventure&Comedy&Family,1996,Joe Pytka,Michael Jordan,Bill Murray,Deion Sanders[,,,,
674,Barbarella,Science Fiction&Adventure&Romance&Comedy,1968,Roger Vadim,Jane Fonda,John Phillip Law,Anita Pallenberg,,,,
675,Hostile Intentions,Thriller&Action&Adventure,1994,John Irvin,Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone[,,,,
676,They Bite,Horror&Comedy,1996,Lawrence Guterman,Tom Everett Scott,Liv Tyler,Steve Park[,,,,
678,Some Folks Call It a Sling Blade,Drama&Mystery&Thriller,1993,Billy Bob Thornton,Bill Paxton,Lucas Black,Natalie Canerday[,,,,
679,The Run of the Country,Drama&Romance,1995,Peter Yates,Richard Harris,Jim Broadbent,Sinead O'Connor[,,,,
680,Alphaville,Drama&Science Fiction,1965,Jean-Luc Godard,Eddie Constantine,Anna Karina,Sadoul Philippe[,,,,
681,Clean Slate (Coup de Torchon),Comedy&Drama&Romance,1981,Bertrand Blier,Peter Ustinov,Jean Carmet,Isabelle Huppert,,,,
682,Tigrero: A Film That Was Never Made,Drama&Thriller,1994, (null),(null),(null)[,,,,,
683,The Eye of Vichy,Drama&History,1993,Claude Chabrol, null , null , null[,,,,
684,Windows,Drama&Romance,1980,John Schlesinger,Dirk Bogarde,Julie Christie,Laurence Olivier[,,,,
685,"It""s My Party",Comedy&Drama&Romance,1995,Hugh Wilson,Eric Roberts,Cameron Diaz,Jennifer Aniston[,,,,
687,Country Life,Drama&Romance,1994,John Madden,Juliet Stevenson,Alan Bates,Lindsay Duncan,,,,
688,Operation Dumbo Drop,Action&Adventure&Comedy&Family,1995,Simon Wincer,Danny Glover,Ray Liotta,Corin Nemec,,,,
690,"Promise, The (Versprechen, Das)",Drama&Romance,1994,Eduard von Borsody,Jan Josef Liefers,Annemarie Düringer,Sylvia Kauders[,,,,
691,Mrs. Winterbourne,Comedy&Drama&Romance,1996,Richard Benjamin,Shirley MacLaine,Brendan Fraser,Sara Ruehl[,,,,
692,Solo,Adventure&Fantasy&Science Fiction,1996,Russell Carpenter,Harrison Ford,Kathleen Kennedy,William Hurt[,,,,
693,Under the Domin Tree (Etz Hadomim Tafus),Drama&Romance,1994,Gidi Dar,Galit Giat,Assi Dayan,Yoram Toledano[,,,,
694,The Substitute,Action&Adventure&Thriller,1996,Robert Mandel,Tom Berenger,Eric Roberts,William Forsythe,,,,
695,True Crime,Crime&Drama&Thriller,1995,Clint Eastwood,Morgan Freeman,Brad Pitt,Glynn Turman,,,,
696,Butterfly Kiss,Drama&Romance,1995,Iain Softley,Mia Kirshner,Jamie Harris,Elizabeth McGovern[,,,,
697,Feeling Minnesota,Comedy&Drama&Romance,1996,Anna Boden,Kevin Bacon,Kyra Sedgwick,Nathan Tysen[,,,,
698,Delta of Venus,Drama&Romance,1994,Zalman King,Amy Irving,Jeremy Irons,Sinead Cusack[,,,,
699,To Cross the Rubicon,Drama&History,1991,Michael Schechter,Tom Conti,Kenneth Cranham,Lynda Bellingham[,,,,
700,Angus,Drama&Coming-of-age,1995,Patrick Read Johnson,Charlie Kilgore,Jim Metzler,Frances McDormand[,,,,
701,Daens,Drama&History&War,1992,Stijn Coninx,Johan Leysen,Victor Reinier,Mathijs Scheepen,,,,
702,Faces,Drama&Romance,1968,John Cassavetes,John Marley,Gena Rowlands,Seymour Cassel[,,,,
703,Boys,Comedy&Drama,1996,Stacy Cochran,Winona Ryder,Lukas Haas,Jonathan Jackson[,,,,
704,The Quest,Adventure&Family,1996,Jean-Pierre Jeunet,Ignacio de Soto,Kenneth Cranham,Elizabeth Spriggs,,,,
705,Cosi,Drama&Romance,1996,Mark Joffe,Joseph Fiennes,Natasha Richardson,Pete Postlethwaite[,,,,
706,Sunset Park,Drama,1996,David Anspaugh,Kevin Bacon,Jennifer Jason Leigh,Natalie Portman[,,,,
707,Mulholland Falls,Crime&Drama&Mystery&Thriller,1996,Billy Bob Thornton,Cynda Williams,Jennifer Connelly,Kelly Preston,,,,
708,The Truth About Cats & Dogs,Comedy&Romance,1996,Jamie Foxx,Janeane Garofalo,Sarah Jessica Parker,Garry Shandling[,,,,
709,Oliver & Company,Animation&Adventure&Comedy&Family,1988,Frank Nissenberg,Joey Lawrence,Dom DeLuise,Helen Slater[,,,,
710,Celtic Pride,Comedy&Drama&Romance,1996,Ross Milloy,Hugh Grant,Ian McKellen,Deborah Unger[,,,,
711,Flipper,Adventure&Drama&Family,1996,Jon Turteltaub,Ewan McGregor,Jessica Biel,Tim Matheson[,,,,
712,Captives,Drama&Thriller,1994,Jim Sharman,Kiefer Sutherland,Kim Basinger,Charlton Heston[,,,,
713,Of Love and Shadows,Drama&Romance,1994,Taylor Hackford,Javier Bardem,Elle Macpherson,Jennifer Connelly[,,,,
